Claim_ID,Policy_Holder,Claim_Date,Claim_Type,Claim_Amount,Location,Rainfall_mm,Weather_Condition,Settlement_Status,Processing_Days
C0001,Lavanya Babu,2024-10-02,Vehicle,70268,Pune,65,Light Rain,Pending,9
C0002,Kavya Din,2025-05-16,Agriculture,179400,Pune,63,Heavy Rain,Settled,4
C0003,Shayak Sekhon,2024-12-10,Property,254990,Ahmedabad,282,Moderate Rain,Pending,8
C0004,Samar Din,2025-02-02,Vehicle,36697,Hyderabad,267,Flood,Pending,25
C0005,Prerak Virk,2025-09-16,Property,495518,Bangalore,286,Heavy Rain,Pending,23
C0006,Parinaaz Chada,2025-08-04,Health,45090,Hyderabad,202,Moderate Rain,Settled,29
C0007,Ryan Datta,2024-11-02,Vehicle,69141,Pune,214,Flood,Pending,7
C0008,Badal Bava,2025-03-12,Property,358146,Lucknow,246,Light Rain,Pending,7
C0009,Rohan Suri,2025-07-30,Property,398085,Ahmedabad,182,Flood,Pending,23
C0010,Samar Deol,2025-02-07,Property,445794,Hyderabad,242,Light Rain,Pending,8
C0011,Farhan Saraf,2025-03-22,Vehicle,97300,Mumbai,57,Light Rain,Pending,13
C0012,Trisha Sura,2025-06-20,Health,89126,Delhi,170,Light Rain,Pending,14
C0013,Anvi Rastogi,2025-03-08,Health,127333,Pune,208,Flood,Settled,29
C0014,Aniruddh Garde,2024-12-22,Agriculture,265729,Delhi,210,Light Rain,Settled,9
C0015,Ivan Gopal,2025-07-06,Agriculture,89520,Pune,246,Flood,Settled,20
C0016,Siya Kala,2025-07-06,Property,409010,Kolkata,161,Heavy Rain,Settled,15
C0017,Rania Dave,2025-07-23,Health,55793,Pune,247,Light Rain,Settled,14
C0018,Drishya Som,2025-06-01,Vehicle,115098,Kolkata,180,Flood,Settled,26
C0019,Himmat Shah,2025-08-03,Health,32589,Pune,278,Moderate Rain,Rejected,20
C0020,Divij Sharaf,2025-03-22,Health,155600,Bangalore,260,Heavy Rain,Settled,28
C0021,Mahika Varkey,2025-02-11,Property,182478,Lucknow,185,Flood,Settled,23
C0022,Veer Bhatnagar,2024-12-08,Vehicle,94137,Hyderabad,99,Flood,Settled,16
C0023,Rasha Sengupta,2024-10-20,Vehicle,112054,Ahmedabad,141,Flood,Settled,6
C0024,Arhaan Rao,2025-06-24,Agriculture,186569,Kolkata,270,Moderate Rain,Pending,24
C0025,Shaan Sule,2024-12-25,Agriculture,62023,Ahmedabad,56,Light Rain,Pending,14
C0026,Ivan Dhaliwal,2025-06-19,Property,433075,Pune,138,Heavy Rain,Settled,23
C0027,Tanya Bawa,2025-06-18,Health,109793,Delhi,250,Light Rain,Settled,26
C0028,Badal Ghose,2024-12-26,Health,193299,Pune,82,Flood,Rejected,6
C0029,Stuvan Ramaswamy,2025-05-16,Agriculture,217375,Delhi,106,Light Rain,Settled,21
C0030,Keya Deshmukh,2025-08-22,Vehicle,62579,Ahmedabad,183,Light Rain,Settled,6
C0031,Kabir Ramachandran,2025-03-20,Vehicle,64571,Pune,269,Moderate Rain,Rejected,5
C0032,Sahil Kumer,2025-06-26,Agriculture,83456,Lucknow,295,Moderate Rain,Pending,17
C0033,Yakshit Sur,2024-11-26,Health,107266,Ahmedabad,137,Heavy Rain,Settled,28
C0034,Rania Rajan,2024-12-25,Agriculture,99759,Ahmedabad,138,Light Rain,Pending,18
C0035,Kiaan Cheema,2024-12-16,Agriculture,242999,Mumbai,100,Light Rain,Rejected,7
C0036,Ira Sidhu,2025-05-15,Vehicle,50350,Delhi,259,Heavy Rain,Settled,25
C0037,Sana Manda,2024-10-27,Property,496462,Lucknow,166,Light Rain,Settled,29
C0038,Kashvi Gade,2025-05-15,Vehicle,138937,Chennai,54,Flood,Pending,16
C0039,Aaryahi Arya,2025-03-01,Agriculture,105607,Ahmedabad,287,Heavy Rain,Pending,11
C0040,Dhanush Bala,2025-08-22,Health,133350,Bangalore,79,Heavy Rain,Settled,26
C0041,Aaina Chawla,2025-03-01,Vehicle,127689,Delhi,276,Light Rain,Settled,29
C0042,Indrans Basu,2025-09-15,Property,128784,Delhi,297,Flood,Settled,5
C0043,Prerak Gaba,2025-07-18,Health,96611,Mumbai,177,Heavy Rain,Settled,10
C0044,Yuvaan Barad,2025-02-03,Vehicle,103937,Delhi,251,Heavy Rain,Settled,9
C0045,Piya Koshy,2025-03-13,Health,42679,Bangalore,125,Heavy Rain,Settled,15
C0046,Indrajit Sarkar,2025-07-17,Agriculture,77649,Bangalore,92,Moderate Rain,Rejected,4
C0047,Vihaan Ben,2025-02-14,Agriculture,223929,Mumbai,71,Flood,Rejected,9
C0048,Faiyaz Dua,2025-07-28,Health,20700,Lucknow,212,Moderate Rain,Rejected,19
C0049,Nayantara Amble,2025-07-10,Property,473392,Bangalore,127,Light Rain,Rejected,18
C0050,Rohan Majumdar,2025-04-13,Agriculture,187965,Kolkata,89,Heavy Rain,Rejected,28
C0051,Aniruddh Setty,2025-02-11,Property,279597,Pune,227,Heavy Rain,Settled,27
C0052,Ehsaan Lad,2025-08-31,Vehicle,47163,Mumbai,245,Light Rain,Pending,11
C0053,Anahita Toor,2024-11-13,Health,175394,Chennai,167,Heavy Rain,Settled,10
C0054,Kimaya Boase,2025-04-19,Health,114977,Chennai,282,Moderate Rain,Pending,12
C0055,Anya Chander,2025-02-23,Vehicle,38054,Bangalore,109,Moderate Rain,Pending,29
C0056,Renee Toor,2025-04-10,Property,147538,Mumbai,119,Heavy Rain,Settled,29
C0057,Uthkarsh Krishnan,2024-12-14,Vehicle,134050,Hyderabad,244,Light Rain,Settled,18
C0058,Advik Yadav,2025-02-01,Vehicle,63007,Pune,80,Light Rain,Rejected,11
C0059,Ishita Sabharwal,2025-08-20,Property,434333,Hyderabad,213,Light Rain,Settled,28
C0060,Ishaan Boase,2025-03-30,Agriculture,185555,Hyderabad,284,Heavy Rain,Settled,8
C0061,Tara Chaudhuri,2025-07-07,Health,108267,Mumbai,258,Flood,Settled,7
C0062,Rohan Sani,2025-08-09,Health,60215,Jaipur,55,Heavy Rain,Settled,15
C0063,Damini Bath,2025-03-29,Agriculture,160639,Lucknow,277,Heavy Rain,Pending,17
C0064,Nehmat Dhaliwal,2025-01-02,Vehicle,110870,Lucknow,214,Flood,Settled,23
C0065,Rati Chaudhry,2025-05-08,Agriculture,162468,Delhi,247,Light Rain,Pending,19
C0066,Romil Kohli,2025-03-11,Health,74632,Kolkata,109,Moderate Rain,Settled,6
C0067,Abram Jha,2024-12-01,Health,135244,Delhi,219,Moderate Rain,Pending,9
C0068,Aarna Cherian,2025-06-20,Vehicle,125144,Hyderabad,99,Moderate Rain,Settled,11
C0069,Madhup Raval,2025-09-18,Health,43305,Hyderabad,282,Light Rain,Settled,22
C0070,Sumer Sant,2025-05-03,Property,195834,Jaipur,63,Light Rain,Settled,25
C0071,Eva Hans,2025-04-11,Health,58567,Bangalore,108,Heavy Rain,Rejected,4
C0072,Lavanya Mandal,2025-01-23,Vehicle,62967,Delhi,211,Heavy Rain,Settled,20
C0073,Advik Lala,2025-05-19,Vehicle,95474,Bangalore,101,Light Rain,Settled,12
C0074,Emir Trivedi,2025-05-22,Vehicle,79666,Mumbai,126,Moderate Rain,Pending,24
C0075,Ryan Krishna,2025-04-15,Vehicle,78841,Delhi,277,Light Rain,Pending,3
C0076,Advik Sinha,2024-12-31,Property,183005,Bangalore,287,Flood,Settled,6
C0077,Lavanya Karan,2025-06-30,Vehicle,143233,Ahmedabad,81,Flood,Rejected,10
C0078,Damini Tak,2024-10-24,Property,217714,Delhi,105,Heavy Rain,Settled,30
C0079,Riya Zachariah,2024-11-02,Agriculture,63385,Delhi,168,Moderate Rain,Settled,30
C0080,Hansh Lanka,2025-08-07,Vehicle,40899,Delhi,138,Flood,Settled,25
